EAN;Descripción;Provincia;Precio
7790236001270;Tapas Pascualina Criolla La Salteña 2 Un 400 Gr;AMBA;93,14
7790070321312;Fideos Tallarín Don Felipe 500 Gr;AMBA;75,00
7790070321329;Fideos Spaghetti Don Felipe 500 Gr;AMBA;75,00
7790070321336;Don Felipe By Terrabusi Tirabuzón 15x500 g;AMBA;75,00
7790070321343;Fideos Mostacholes Don Felipe 500 Gr;AMBA;75,00
7790070318329;Fideos Tirabuzones Lucchetti 500 Gr;AMBA;66,05
77905321;Don Felipe Tallarín 20x500g;AMBA;109,00
7794600009251;Fideos Mostacholes Rayados Don Felipe 500 Gr;AMBA;109,00
7794600000333;Fideos Tirabuzones al Huevo Don Felipe 500 Gr;AMBA;109,00
7798090852632;Vino Blanco Chardonnay Aime 750 Ml;AMBA;401,15
7798090852502;Vino Blanco Dulce Natural Aime 750 Cc;AMBA;401,15
7798090852649;Vino Rose Aime 750 Ml;AMBA;401,15
7798090852533;Vino Tinto Malbec Aimé 750 Cc;AMBA;401,15
7798090852526;Vino Tinto Cabernet Sauvignion Aimé 750 Cc;AMBA;401,15
7798090852519;Vino Red Blend Aimé 750 Cc;AMBA;401,15
7790070509123;Chamigo x 500 SIN TACC;AMBA;180,00
7790070413574;Favorita Pan Rallado 20x450g;AMBA;85,00
7790070413581;Favorita Pan Rallado 12x900g;AMBA;155,00
7790070413598;Favorita Rebozador x450g;AMBA;85,00
7790070413604;Favorita Rebozador x 900g;AMBA;155,00
7790060009329;Aceite de Oliva Comestible Cocinero 500 Ml;AMBA;365,83
7790070411860;Arroz Largo Fino Gallo 1000gr;AMBA;107,06
7790070506917;Harina 000 con Vitamina B6 y B12 Blancaflor 1 Kg;AMBA;62,50
7790070318992;Canale Spaguetti x 500 grs;AMBA;47,50
7500435168656;Pañales Descartables Descartables Supersec Talle G Pampers 22 un;AMBA;444,03
EAN;Descripción;Provincia;Precio
7500435168663;Pañales Descartables Descartables Supersec Talle M Pampers 26 un;AMBA;444,03
7500435168670;Pañales Descartables Descartables Supersec Talle P Pampers 30 un;AMBA;486,96
7500435168649;Pañales Descartables Descartables Supersec Talle XG Pampers 18 un;AMBA;444,03
7500435168632;Pañales Descartables Descartables Supersec Talle XXG Pampers 16 un;AMBA;444,03
7500435004718;Jabón Líquido para Ropa Botella Ace 800 ml;AMBA;205,64
7500435156318;Jabón Líquido para Ropa Para Ropa con Downy Doypack Ace 800 ml;AMBA;171,16
7500435200189;Jabón Líquido para Ropa Para Ropa con Downy Doypack Ace 800 ml;AMBA;171,16
7500435139861;Jabón Líquido para Ropa Para Ropa Doypack Ace 1400 ml;AMBA;279,79
7500435183918;Lavavajillas Aloe Magistral 300 cc;AMBA;164,99
7500435183925;Lavavajillas Aloe Magistral 500 cc;AMBA;274,99
7500435012515;Acondicionador Cuidado Clásico Pantene 400 ml;AMBA;351,34
7500435168229;Acondicionador Cuidado Clásico Pantene 400 ml;AMBA;351,34
3014260275143;Cartuchos Mach 3 Turbo Gillette 2 un;AMBA;494,79
3014260802189;Cepillo Dental Complete Base Oral-B 1 un;AMBA;135,06
7500435122764;Crema Dental Complete Menta Fresh Oral-B 70 un;AMBA;143,19
7702018316687;Máquina Para Afeitar Minora Plus Fg Gillette 5 un;AMBA;203,03
7702018983872;Máquina Para Afeitar Prestobarba 3 Cool Gillette 2 un;AMBA;291,50
7506339363883;Pasta Dental 123 Mint Oral B 70 gr;AMBA;106,48
7500435191838;Repuesto Máquina de Afeitar Venus Breeze Gillette 2 un;AMBA;682,13
7500435012669;Shampoo 2 En 1 - Con Acondicionador Pantene 400 ml;AMBA;351,34
7500435171991;Shampoo 2 En 1 - Con Acondicionador Pantene 400 ml;AMBA;351,34
7500435012539;Shampoo 2 en 1 Cuidado Clásico Max Pro V Pantene 200 ml;AMBA;234,99
7500435171984;Shampoo 2 en 1 Cuidado Clásico Max Pro V Pantene 200 ml;AMBA;234,99
7500435012485;Shampoo Cuidado Clásico Pantene 400 ml;AMBA;351,34
7500435172127;Shampoo Cuidado Clásico Pantene 400 ml;AMBA;351,34
7500435012478;Shampoo Cuidado Clásico Max Pro V Pantene 200 ml;AMBA;211,50
7500435172004;Shampoo Cuidado Clásico Max Pro V Pantene 200 ml;AMBA;211,50
7500435176262;Shampoo Fuerza Recon. Max ProV Miracles Pantene 200 ml;AMBA;262,51
7500435168465;Shampoo Fuerza Recon. Max ProV Miracles Pantene 200 ml;AMBA;262,51
7500435193146;Toallas Higiénicas p/Menstruantes Plus Seca con Alas Always 8 un;AMBA;156,35
7500435160674;Máquina Para Afeitar Prestobarba Azul Gillette 5 un;AMBA;348,10
7500435169615;Máquina Para Afeitar Prestobarba Rosa Gillette 3 un;AMBA;231,30
7500435170949;Cepillo Dental OB Complete Base Black Oral B 2 un;AMBA;374,99
7500435183895;Lavavajilla Manzana Magistral 500 ml;AMBA;250,16
7500435176194;Acondicionador Fuerza Recon. Max ProV Miracles Pantene 200 ml;AMBA;290,60
7500435168281;Acondicionador Fuerza Recon. Max ProV Miracles Pantene 200 ml;AMBA;290,60
7500435193078;Toallas Higiénicas p/Menstruantes Triple Prot. Suave Always 8 un;AMBA;186,55
3014260273903;Espuma de Afeitar Espuma de Afeitar Regular en Aerosol Foamy 322 Ml Gillette 1 un;AMBA;273,37
7500435188913;Pañales Descartables Pañal Talle Recién Nacido Confort Sec Ultra Pampers 20 Un Pampers 20 un;AMBA;500,00
7790154000829;Vino Tinto Vin Up 1 Lt;AMBA;110,07
7790154000836;Vino Blanco Vin Up 1 Lt;AMBA;113,76
7790154008368;Jugo de Manzana Del Valle 200 Ml;AMBA;45,00
7790154008375;Jugo de Naranja Del Valle 200 Ml;AMBA;45,00
7790154008351;Jugo Multifruta Del Valle 200 Ml;AMBA;45,00
7790154008344;Jugo Durazno Del Valle 200 Ml;AMBA;45,00
7790154008337;Jugo Manzana Del Valle 200 Ml;AMBA;45,00
7790154008320;Jugo Manzana Del Valle 1 L;AMBA;150,00
7790154008382;Jugo Lima Del Valle 1 L;AMBA;150,00
7791120098246;Arroz No Se Pasa Apóstoles 1kg;AMBA;100,65
7791120031557;Arroz Largo Fino 00000 Molinos Ala 1 Kg;AMBA;67,23
7791120031656;Arroz Largo Fino Apóstoles 1kg;AMBA;85,60
7791120099816;Arroz Largo Fino Molinos Ala 1 Kg;AMBA;120,56
7791120100208;Arroz Largo Fino Apóstoles 500gr;AMBA;55,07
7791120100215;Arroz No Se Pasa Ni Se Pega Apóstoles 500gr;AMBA;61,50
7791120098857;Tostada De Arroz Sin Tacc Apóstoles 150gr;AMBA;95,40
7798338290103;Leche Larga Vida Entera Uht Apóstoles 1lt;AMBA;81,25
7798338290110;Leche Larga Vida Parcialmente Descremada Uht Apóstoles 1lt;AMBA;81,25
7798338290295;Leche Larga Vida Deslactosada Apóstoles 1lt;AMBA;90,72
7798338290868;Apóstoles Descremada 0% grasa;AMBA;80,00
7790360720382;Paté de Foie Swift Lata 90 Gr;AMBA;60,82
7790360000132;Salchichas Swift 6 Un 225 Gr;AMBA;118,99
7790360970053;Salchichas Junior 190 Gr Swift 6un;AMBA;87,08
7790360026590;Hamburguesa Clásica Swift 12un;AMBA;914,36
7790360966841;Medallones De Carne 276 Gr Swift 4un;AMBA;169,28
7790360972149;Hamburguesa Kids 276 Gr Swift 4un;AMBA;276,24
7790360965127;Pate de Foi La Blanca 90 Gr;AMBA;68,00
7790360965714;Paté de Foi Tipo Provenzal Swift 85 Gr;AMBA;114,70
7790360965707;Paté Jamón Ahumado Swift 85 Gr;AMBA;126,00
7790360968548;Medallones De Carne Swift 828 Gr;AMBA;685,00
7790310984109;Papas Fritas Clásicas Lisas Pehuamar 80gr;AMBA;149,80
7790310983515;Papas Fritas Clásicas Lisas Pehuamar 145gr;AMBA;146,28
7790310984123;Papas Fritas Clásicas Lisas Pehuamar 245gr;AMBA;311,04
7790310983928;Maní Pelado Pehuamar 110 Gr;AMBA;121,39
7790310984307;Palitos Salados Pep 120 Gr;AMBA;159,72
7790310983362;Palitos Salados Clásicos Pehuamar 190gr;AMBA;152,80
7790310984352;Palitos Salados Clásicos Pehuamar 90gr;AMBA;114,44
7790310984338;Chizitos Maicitos Pehuamar 125gr;AMBA;196,34
7790310984918;Chizitos tipo Caracolito Pehuamar 110gr;AMBA;149,47
7790310984925;Chizitos tipo Caracolito Pehuamar 205gr;AMBA;249,07
7790310984437;Mini Tosaditas sabor Queso Twistos 100 Gr;AMBA;143,99
7790787004485;Yogur con frutas Entero Frutilla Ilolay 150 gr;AMBA;65,51
7790787004492;Yogur con frutas Entero Durazno Ilolay 150 gr;AMBA;65,51
EAN;Descripción;Provincia;Precio
7790787004744;Yogur con frutas Descremado Frutilla Ilolay 150 gr;AMBA;65,51
7790787004997;Yogur con frutas Descremado Durazno Ilolay 150 gr;AMBA;65,51
7790787006496;Dulce de Leche Clásico Maru Botana 400 gr;AMBA;122,64
