,0,1,2,3,4,5,6,7,8,9,10
183,7/1/2021 21:58,7/1/2021,Telegram Empleos,*****,*****,Advertido,Comentarios en empleos. @leanfen aparece como Dani Garcia,*****,*****,*****,*****
184,7/1/2021 21:59,7/1/2021,Telegram Empleos,*****,*****,Silenciado,Comentario en el grupo de empleos.,*****,*****,*****,*****
185,7/1/2021 22:00,7/1/2021,Telegram Empleos,*****,*****,Silenciado,Comentarios en el grupo de empleos,*****,*****,*****,*****
186,12/1/2021 18:56,12/1/2021,Telegram Empleos,*****,*****,Silenciado,Comentarios en empleos,*****,*****,*****,*****
187,14/01/2021 19:40:12,14/01/2021,Telegram Empleos,*****,*****,Eliminado,"Postear ""trabajo"" para cuevas",*****,*****,*****,*****
188,15/01/2021 23:00:02,15/01/2021,Telegram Empleos,*****,*****,Eliminado,Spam,*****,*****,*****,*****
189,16/01/2021 19:40:29,16/01/2021,Telegram Empleos,*****,*****,Silenciado,Consulta fuera de lugar recién ingresado,*****,*****,*****,*****
190,16/01/2021 20:45:50,16/01/2021,Telegram Empleos,*****,*****,Eliminado,Pidió trabajo de manera irónica ,*****,*****,*****,*****
191,17/01/2021 23:14:03,17/01/2021,Telegram Empleos,*****,*****,Silenciado,Publicidad,*****,*****,*****,*****
192,18/01/2021 15:39:48,18/01/2021,Telegram Empleos,*****,*****,Silenciado,respondió una oferta de trabajo,*****,*****,*****,*****
193,20/01/2021 15:33:57,20/01/2021,Telegram Empleos,*****,*****,Eliminado,Spam de negocio parecido a ser tu propio jefe,*****,*****,*****,*****
194,20/01/2021 22:26:52,20/01/2021,Telegram Empleos,*****,*****,Silenciado,mensaje buscando trabajo freelance.,*****,*****,*****,*****
195,23/01/2021 3:51:58,23/01/2021,Telegram Empleos,*****,*****,Eliminado,Spam se tu propio jefe,*****,*****,*****,*****
196,25/01/2021 12:08:48,25/01/2021,Telegram Empleos,*****,*****,Silenciado,Comentario buscando trabajo,*****,*****,*****,*****
197,26/01/2021 5:09:18,26/01/2021,Telegram Empleos,*****,*****,Silenciado,no corresponde la oferta,*****,*****,*****,*****
198,26/01/2021 5:10:40,26/01/2021,Telegram Empleos,*****,*****,Silenciado,hablo en el grupo diciendo hola,*****,*****,*****,*****
199,26/01/2021 12:19:19,26/01/2021,Telegram Empleos,*****,*****,Silenciado,Comentario haciendo consultas...,*****,*****,*****,*****
200,26/01/2021 22:46:24,26/01/2021,Telegram Empleos,*****,*****,Silenciado,hablo en el grupo sobre una oferta,*****,*****,*****,*****
201,26/01/2021 22:48:21,26/01/2021,Telegram Empleos,*****,*****,Silenciado,respondió una consulta de oferta,*****,*****,*****,*****
202,27/01/2021 17:44:56,27/01/2021,Telegram Empleos,*****,*****,Silenciado,comentarios en el grupo de empleos,*****,*****,*****,*****
